#dP2026  9  3  0  0  0.00000000     289 d     IGc20 FIT AIUB
## 2434 345600.00000000   300.00000000 61286 0.0000000000000
%c M  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
/* Center for Orbit Determination in Europe (CODE)                              
/* Rapid GNSS orbits and clocks for year-day 2026-246                           
/* Middle day of a 3-day long-arc GRE solution                                  
/* Product reference - DOI 10.48620/97772                                       
/* PCV:IGS20_2425 OL/AL:FES2014b NONE     YN ORB:CoN CLK:CoN                    
*  2026  9  3  0  0  0.00000000
PG13  -2603.067905  15444.745924 -21520.200167    437.219113
PG15  -2553.891791  23891.686371  10744.885266    441.612193
PG17 -12804.894652 -13748.767962 -18296.366268   -196.441029
PG19 -15261.645630  -1851.519310 -21701.366345    704.935156
PG20 -11227.424146  16378.670981  17703.156429    276.591582
PG21 -21457.996587    746.560409  15663.451369    370.931461
PG22 -23615.060307  -9780.255692  -6269.420737     72.431582
PG23  19395.304752  16106.656520   8906.550332    685.377741
PG24 -11939.445143  20786.863612 -11620.489962    190.130391
PG27  12960.025674 -12191.561040  19213.821137      0.452996
PG30 -18583.622161  -4276.458526  18794.536144    351.069849
*  2026  9  3  1 15  0.00000000
PG01  10315.262183 -18704.207149 -15735.708376    181.601751
PG02  15547.772485 -19550.637619  -7689.247740    168.909291
PG03   -916.647079 -16041.759056 -21380.482372    289.062269
PG05 -13160.982045   9474.990986  20864.659518   -236.484510
PG06 -21879.464411   2140.505259 -14951.323412   -534.038265
PG07  -6628.702698 -14385.010802  21931.726388   -221.202098
PG08   6519.746775 -22104.997840  12565.871625    357.043363
PG09  -7815.332745 -24028.102392   7934.521001    687.395299
PG10  24071.501989  11618.549367   -838.784996   -540.170275
PG12  -1824.189713  16190.388276 -21259.463413   -602.930425
PG13  -3352.090666  15117.106354 -21649.981261    437.220583
PG15  -2745.853681  23473.440045  11548.061368    441.613119
PG17 -12751.537882 -14462.011002 -17778.304371   -196.442207
PG19 -15230.903650  -2674.502529 -21653.724742    704.934993
PG20 -11328.598760  15703.605668  18243.552600    276.594344
PG21 -21947.411218    424.906713  14983.589608    370.929255
PG22 -23765.388553  -9984.682825  -5348.329737     72.434231
PG23  19061.914632  15995.415443   9783.082476    685.378804
PG24 -12313.953282  20973.974103 -10816.481385    190.135571
PG27  13067.788084 -11428.882194  19610.984441      0.453050
PG30 -18019.697636  -4712.335488  19231.697974    351.073536
*  2026  9  3  1 20  0.00000000
PG01  10854.294621 -18947.003780 -15065.385190    181.599013
PG02  15836.153558 -19665.006957  -6779.802816    168.911550
PG03   -193.625281 -15695.680198 -21654.475784    289.056062
PG05 -13888.197628   9143.745097  20541.772390   -236.484387
PG06 -21413.196280   1787.931120 -15648.806461   -534.035052
PG07  -5969.903204 -14822.736553  21814.897242   -221.202795
PG08   6680.850682 -21612.010509  13319.227414    357.040275
PG09  -7769.785582 -24324.704554   7034.480999    687.392693
PG10  24073.379319  11667.696937    128.816061   -540.168190
PG12  -2525.235413  15816.180876 -21471.480149   -602.930053
PG13  -4110.428718  14800.929692 -21738.584452    437.222063
PG15  -2952.594417  23028.881111  12328.473806    441.613962
PG17 -12709.706677 -15155.500637 -17224.890512   -196.443443
PG19 -15214.406176  -3494.708234 -21564.857475    704.935259
