#dP2026  9  5  0  0  0.00000000     289 d     IGc20 FIT AIUB
## 2434 518400.00000000   300.00000000 61288 0.0000000000000
%c M  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
/* Center for Orbit Determination in Europe (CODE)                              
/* Rapid GNSS orbits and clocks for year-day 2026-248                           
/* Middle day of a 3-day long-arc GRE solution                                  
/* Product reference - DOI 10.48620/97772                                       
/* PCV:IGS20_2425 OL/AL:FES2014b NONE     YN ORB:CoN CLK:CoN                    
*  2026  9  5  0  0  0.00000000
PG21 -17473.976642   3741.747356  19665.755760    369.586935
PG22 -21796.357076  -7551.202282 -12567.569450     73.934012
PG24  -8401.028285  19119.220237 -16781.702693    193.071803
PG25  15031.086618  19654.280901 -10373.515267    391.607927
PG26  21795.923530   -346.180843  15191.779327   -391.768235
PG28  24109.901450  -2925.309630 -10777.928494   -423.077193
PG29   5612.085269  21975.843538  13651.014746   -249.176868
PG30 -22407.125338  -1652.678161  14564.274259    353.168610
PG31  25090.284738  -9112.661804  -1430.065507   -122.960320
*  2026  9  5  0 30  0.00000000
PG04     88.285309 -26019.672990   4843.767688     64.725454
PG05  -7824.336972  12414.654463  21964.391525   -236.534414
PG06 -24712.361680   4072.640145  -9007.174519   -532.202423
PG07 -11726.100562 -11508.182768  21563.150604   -221.767777
PG09  -8306.829228 -20879.292175  13982.827874    685.904365
PG11 -23593.931425  11781.578066   2791.776707   -220.075985
PG13   1807.485600  17719.301133 -19767.120047    438.051647
PG14 -23112.503075 -12536.544682  -4717.152833    749.978944
PG15  -1592.464500  25877.030389   5179.766275    442.123798
PG17 -13459.420444  -8843.865641 -20706.824158   -197.231919
PG18  13173.944052   9901.913775  20954.870828   -263.860575
PG19 -15780.525032   3300.588213 -21042.084092    704.953403
PG20 -10862.429460  20152.456564  13534.531369    278.144277
PG21 -18043.454325   3267.802476  19232.269821    369.584539
PG22 -22106.106806  -7930.204344 -11778.691501     73.936890
PG24  -8956.374174  19364.200579 -16171.696378    193.076957
PG25  14663.027051  19493.710845 -11187.087267    391.606856
PG26  22258.116275      8.426530  14534.446887   -391.768628
PG28  23756.067207  -2677.705996 -11595.974601   -423.074004
PG29   5452.465139  22464.771324  12895.628951   -249.174874
PG30 -21932.511694  -1950.425138  15236.474209    353.172278
PG31  25065.729932  -9013.633593  -2369.778544   -122.959485
*  2026  9  5  0 35  0.00000000
PG04    184.149998 -26175.484934   3899.190794     64.725541
PG05  -8541.412256  11963.402794  21948.312511   -236.534246
PG06 -24403.672230   3879.730239  -9880.576311   -532.199168
PG07 -11026.265191 -11852.884950  21739.307916   -221.768751
PG09  -8214.096198 -21399.650145  13234.299727    685.901729
PG11 -23706.390983  11736.997810   1841.845099   -220.072363
PG13   1150.964017  17342.882900 -20148.535637    438.053124
PG14 -23193.697476 -12707.819222  -3802.044258    749.978884
PG15  -1713.584332  25650.784221   6088.794055    442.124912
PG17 -13319.096701  -9643.344154 -20435.196639   -197.233514
PG18  12454.630093  10243.745140  21220.774042   -263.857919
PG19 -15663.276039   2501.527639 -21255.900295    704.953576
PG20 -10894.878742  19623.141550  14269.096188    278.146992
PG21 -18607.374179   2813.973420  18762.018807    369.582138
PG22 -22398.746382  -8284.135740 -10966.515046     73.939565
PG24  -9488.609352  19606.041119 -15531.455848    193.082162
PG25  14267.516381  19322.989725 -11979.892144    391.605790
PG26  22703.539651    343.163836  13849.358842   -391.769016
PG28  23379.437362  -2410.280555 -12391.843506   -423.070790
PG29   5305.734930  22927.702879  12115.301216   -249.172645
PG30 -21440.845098  -2266.602959  15880.204204    353.175950
PG31  25010.794286  -8900.270057  -3305.046319   -122.958513
*  2026  9  5  0 40  0.00000000
PG04    273.673729 -26297.215078   2947.066405     64.725644
PG05  -9265.396599  11526.129208  21889.527636   -236.534312
PG06 -24069.079537   3667.217012 -10735.170050   -532.195901
PG07 -10327.256309 -12212.515655  21876.306903   -221.769820
PG09  -8131.575336 -21892.682462  12460.167060    685.899106
PG11 -23786.807828  11679.669557    888.369515   -220.068752
PG13    476.426515  16970.871226 -20491.593221    438.054610
PG14 -23249.404356 -12858.277137  -2879.784077    749.978831
PG15  -1842.793687  25392.384227   6985.974897    442.125876
